Potential energy data
X 71 Y 71 
   10627     10620     10610     10597     10582     10565     10548
   10531     10515     10498     10483     10468     10453     10440
   10428     10416     10405     10395     10386     10377     10369
   10362     10355     10349     10344     10339     10334     10330
   10326
 
   -6534    -12509    -16496    -18926    -20152    -20458    -20072
  -19176    -17913    -16398    -14721    -12951    -11141     -9332
   -7555     -5834     -4183     -2615     -1136       249      1538
    2730      3827      4830      5741      6564      7301      7955
    8531      9032      9462      9826     10130     10379     10579
   10736     10857     10948     11013     11058     11088     11104
   11112     11111     11106     11097     11085     11071     11056
   11041     11025     11010     10995     10981     10967     10955
   10943     10931     10921     10911     10902     10893     10886
   10878     10872     10866     10860     10855     10851     10846
   10843
 
   -6696    -12671    -16654    -19080    -20301    -20603    -20212
  -19310    -18043    -16523    -14840    -13063    -11247     -9432
   -7648     -5919     -4260     -2682     -1193       203      1504
    2710      3822      4842      5773      6617      7377      8057
    8660      9189      9650     10045     10379     10657     10885
   11068     11212     11322     11405     11465     11506     11533
   11549     11555     11555     11550     11542     11531     11518
   11505     11491     11477     11463     11450     11437     11425
   11413     11402     11392     11382     11373     11365     11358
   11351     11344     11338     11333     11328     11323     11319
   11315
 
   -6847    -12821    -16801    -19222    -20440    -20737    -20342
  -19436    -18164    -16639    -14952    -13170    -11349     -9528
   -7738     -6003     -4337     -2751     -1254       151      1463
    2680      3805      4839      5785      6646      7426      8127
    8753      9307      9794     10216     10579     10885     11139
   11348     11515     11647     11748     11824     11878     11916
   11941     11955     11961     11961     11956     11949     11939
   11927     11915     11903     11890     11878     11865     11854
   11843     11832     11822     11813     11804     11796     11789
   11782     11775     11769     11764     11759     11755     11750
   11747
 
   -6987    -12959    -16936    -19354    -20568    -20861    -20462
  -19553    -18277    -16748    -15057    -13271    -11445     -9620
   -7825     -6084     -4412     -2821     -1317        96      1416
    2643      3778      4823      5782      6658      7453      8172
    8817      9393      9902     10349     10736     11068     11348
   11581     11771     11924     12045     12137     12206     12256
   12290     12313     12326     12331     12331     12327     12320
   12311     12301     12290     12279     12267     12256     12245
   12234     12224     12215     12206     12197     12189     12182
   12175     12169     12163     12158     12153     12149     12144
   12141
 
   -7116    -13087    -17061    -19476    -20686    -20976    -20574
  -19661    -18382    -16850    -15155    -13365    -11536     -9706
   -7908     -6162     -4486     -2889     -1379        40      1366
    2601      3744      4799      5769      6656      7464      8197
    8859      9452      9981     10448     10857     11212     11515
   11771     11984     12159     12298     12408     12492     12555
   12601     12632     12653     12664     12669     12669     12666
   12660     12652     12642     12632     12622     12612     12601
   12591     12582     12573     12564     12556     12548     12541
   12534     12528     12523     12517     12513     12508     12504
   12500
 
   -7235    -13204    -17176    -19588    -20795    -21083    -20677
  -19761    -18479    -16944    -15246    -13454    -11621     -9788
   -7986     -6237     -4556     -2955     -1441       -17      1316
    2556      3706      4769      5747      6644      7462      8207
    8882      9490     10035     10519     10948     11322     11647
   11924     12159     12353     12512     12639     12739     12816
   12874     12915     12944     12963     12973     12978     12978
   12975     12969     12962     12954     12945     12935     12926
   12916     12907     12899     12890     12883     12875     12868
   12862     12856     12850     12845     12840     12836     12832
   12828
 
   -7345    -13312    -17281    -19691    -20896    -21180    -20772
  -19854    -18569    -17032    -15331    -13536    -11700     -9865
   -8060     -6307     -4623     -3019     -1501       -72      1265
    2510      3666      4735      5720      6624      7452      8206
    8892      9512     10070     10569     11013     11405     11748
   12045     12298     12512     12690     12835     12951     13042
   13112     13164     13202     13228     13245     13255     13259
   13260     13257     13252     13245     13237     13229     13221
   13212     13204     13196     13188     13180     13173     13166
   13160     13154     13149     13144     13139     13135     13131
   13127
 
   -7446    -13411    -17378    -19786    -20988    -21270    -20860
  -19939    -18652    -17112    -15409    -13612    -11774     -9936
   -8129     -6374     -4687     -3080     -1558      -126      1214
    2464      3625      4698      5689      6600      7434      8196
    8891      9520     10089     10601     11058     11465     11824
   12137     12408     12639     12835     12997     13129     13235
   13318     13382     13429     13464     13488     13503     13512
   13516     13516     13514     13509     13503     13496     13489
   13481     13473     13466     13458     13451     13444     13438
   13432     13426     13421     13416     13411     13407     13403
   13399
 
   -7538    -13502    -17467    -19872    -21073    -21353    -20940
  -20018    -18729    -17187    -15482    -13683    -11843    -10003
   -8193     -6436     -4747     -3137     -1613      -178      1165
    2419      3583      4661      5656      6572      7412      8181
    8882      9520     10098     10619     11088     11506     11878
   12206     12492     12739     12951     13129     13277     13397
   13494     13569     13627     13671     13702     13724     13738
   13746     13750     13750     13748     13743     13738     13732
   13725     13718     13711     13704     13697     13691     13685
   13679     13673     13668     13663     13659     13655     13651
   13647
 
   -7623    -13586    -17549    -19952    -21150    -21428    -21014
  -20090    -18799    -17256    -15549    -13748    -11906    -10065
   -8253     -6494     -4803     -3191     -1665      -228      1118
    2374      3542      4623      5622      6542      7387      8161
    8868      9512     10097     10627     11104     11533     11916
   12256     12555     12816     13042     13235     13397     13532
   13642     13729     13798     13851     13891     13919     13939
   13952     13959     13963     13963     13961     13957     13952
   13946     13940     13934     13928     13921     13915     13909
   13904     13898     13893     13889     13884     13880     13877
   13873
 
   -7701    -13662    -17623    -20025    -21221    -21498    -21082
  -20156    -18863    -17319    -15610    -13808    -11965    -10122
   -8309     -6548     -4856     -3242     -1714      -275      1074
    2332      3502      4586      5588      6511      7360      8138
    8850      9499     10090     10627     11112     11549     11941
   12290     12601     12874     13112     13318     13494     13642
   13764     13864     13944     14007     14055     14091     14117
   14135     14147     14154     14157     14157     14155     14151
   14147     14142     14136     14131     14125     14119     14114
   14108     14103     14098     14094     14090     14086     14082
   14078
 
   -7773    -13732    -17691    -20091    -21286    -21561    -21144
  -20216    -18923    -17377    -15667    -13864    -12019    -10175
   -8360     -6598     -4905     -3289     -1760      -319      1031
    2291      3463      4550      5554      6480      7332      8114
    8829      9483     10079     10620     11111     11555     11955
   12313     12632     12915     13164     13382     13569     13729
   13864     13976     14067     14140     14197     14241     14274
   14297     14314     14324     14330     14333     14333     14332
   14328     14324     14320     14315     14310     14304     14299
   14294     14289     14285     14280     14276     14272     14269
   14265
 
   -7838    -13796    -17754    -20152    -21346    -21619    -21201
  -20272    -18977    -17430    -15719    -13914    -12069    -10224
   -8408     -6645     -4950     -3333     -1802      -360       991
    2253      3427      4515      5522      6450      7304      8089
    8807      9464     10064     10610     11106     11555     11961
   12326     12653     12944     13202     13429     13627     13798
   13944     14067     14169     14252     14318     14370     14410
   14439     14461     14476     14486     14491     14494     14494
   14492     14489     14486     14482     14477     14472     14468
   14463     14458     14454     14450     14446     14442     14439
   14435
 
   -7897    -13854    -17811    -20208    -21400    -21672    -21252
  -20323    -19027    -17478    -15767    -13961    -12115    -10268
   -8452     -6688     -4992     -3374     -1842      -399       954
    2217      3392      4482      5490      6420      7277      8063
    8785      9445     10047     10597     11097     11550     11961
   12331     12664     12963     13228     13464     13671     13851
   14007     14140     14252     14344     14420     14480     14527
   14563     14590     14610     14624     14632     14637     14640
   14640     14638     14636     14633     14629     14625     14620
   14616     14612     14608     14604     14600     14596     14593
   14590
 
   -7951    -13907    -17862    -20258    -21449    -21720    -21300
  -20369    -19072    -17523    -15810    -14004    -12157    -10309
   -8492     -6727     -5030     -3412     -1879      -435       919
    2183      3360      4451      5460      6392      7250      8038
    8762      9424     10029     10582     11085     11542     11956
   12331     12669     12973     13245     13488     13702     13891
   14055     14197     14318     14420     14504     14572     14627
   14670     14703     14728     14746     14758     14766     14771
   14773     14773     14771     14769     14766     14763     14759
   14755     14751     14747     14744     14740     14736     14733
   14730
 
   -8001    -13955    -17910    -20304    -21494    -21765    -21343
  -20411    -19114    -17564    -15850    -14043    -12195    -10347
